,COLOER KEY --->>>>>,,Priority clinic list ,atena open tracker ,Large hospitals popped in by mellisa will be snail mailing them ,atena open tracker ,Includes Exotics ,,,,,,,,,,,,,,
VISIT FOR 3/18,VCA Animal Specialty Group,"3/18/25_LM_Visit ____6/1/23_ emailed & materials dropped , DVM visited",Yes,,Unknown,"Aetna, SO",,2,2,"3/18/25, 6/1/23",,"Dr. Vaneh Allahverdi
Dr. Kyla Alvarez
Dr. Andreas Andreou
Dr. Heather Baydian
Dr. Morgan Biggo
Dr. Rikki Boswell
Dr. Emily Chapel 
Dr. Emily Coddon
Dr. Mickila Collins
Dr. Emma Davey
Dr. Nicole DeNezzo
Dr. Yelena George
Dr. Max Gluck
Dr. Michael Huber
Dr. Kate Kim (Resident)
Dr. Martin Kwan
Dr. Josha Laske
Dr. Olga Maderich
Dr. Libby Mannucci
Dr. Emi Ohashi 
Dr. Bonnie Oliphant
Dr. Charlotte Pfund
Dr. Rhonda Schulman
Dr. Dana Sengewald
Dr. Christina Thompson
Dr. Kirk Wendelburg
Dr. Ayako Zabalaga
Dr. Katie Shanley","Dr. Vaneh Allahverdi DVM, Dr. Kyla Alvarez DVM, Dr. Andreas Andreou DVM, Dr. Heather Baydian DVM, Dr. Morgan Biggo DVM, DACVS, Dr. Rikki Boswell DVM, Dr. Emily Chapel DVM, MS, DACVIM, Dr. Emily Coddon DVM, Dr. Mickila Collins DVM, DACVIM, Dr. Nicole DeNezzo DVM, Dr. Yelena Geourge DVM, Dr. Max Gluck DVM, Dr. Michael Huber DVM, MS, DACVS, Dr. Kate Kim DVM, Dr. Martin.Kwan DVM, Dr. Joshua.Laske DVM, Dr. Olga Maderich DVM, Dr. Libby Mannucci DVM, DACVECC, Dr. Emi Ohashi DVM, PhD, DACVIM, Dr. Bonnie Oliphant DVM, DACVIM, Dr. Charlotte Pfund DVM, Dr. Rhonda Schulman DVM, DACVIM, Dana Sengewald DVM, DACVIM, Dr. Katie Shanley, Dr. Christina.Thompson DVM, Dr. Kirk Wendelburg DVM, DACVS, ACVS, Dr. Ayako Zabalaga DVM",818-244-7977,"Andreas.Andreou@vca.com, Trista.Cheng@vca.com, Emily.Coddon@vca.com, Mickila.Collins@vca.com, Nicole.DeNezzo@vca.com, Christelle.Follette@vca.com, Yelena.George@vca.com, Max.Gluck@vca.com, Michael.Huber@vca.com, Marcy.Kanuka@vca.com, Kasey.Kensington@vca.com, Martin.Kwan@vca.com, Joshua.Laske@vca.com, Emi.Ohashi@vca.com, Bonnie.Oliphant@vca.com, Rhonda.Schulman@vca.com, Dana.Sengewald@vca.com, Katie.Shanley@vca.com, Stacey.Sullivan@vca.com, Christina.Thompson@vca.com,","4641 Colorado Blvd., Glendale, CA 90039",Google Maps Link,,SPE,,"Cardiology, Emergency & Critical Care, Internal Medicine, Neurology, Oncology, Surgery"
Visit 3/21,VCA Chatoak Pet Clinic,"2/26/25 - 2/27/25, 8/4/22_Dr. Geist sent email to all doctors",,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Senta Belding DVM, Dr. Cynthia Binder DVM, Dr. Rebecca Florio DVM, Dr. Brett Gouldburn DVM, Dr. Linda Jackson DVM, Dr. Allison More DVM, Dr. Donald Morshead DVM, Dr. Smitha Srinath DVM",818-363-7444,"Senta.Belding@vca.com, Cynthia.Binder@vca.com, Rebecca.Florio@vca.com, vcachatoak@vca.comDonald.Morshead@vca.com, Smitha.Srinath@vca.com","17659 Chatsworth St, Granada Hills, CA 91344",Google Maps Link,,SPE,,"Bone and Joint Surgery, Cardiology, Chemotherapy, Cold Laser Therapy, Dermatology, Diagnostic Imaging, Digital Radiology, EKG, Laparoscopy, Laser, Surgery, OFA X-Ray, Oncology, Ophthalmology, Orthopedic Surgery, Soft Tissue Surgery, Stem Cell Therapy, Tonopen, Chinese Herbal Medicine, Herbal Medicine, Holistic Medicine, Pet Counseling"
YES - by Gladys ,VCA Marina Bay Cities Animal Hospital,3/1/22_MG_ and drop off brochure- met with Dr. McEvilly (MRG),Yes,,Unknown,Venice,,4,unkown,unkown,,,,310.306.8707,"AU153@vcahospitals.com, (Medical Director) Steven.Thatcher@vca.com, mary.brandt@vca.com, jeffrey.eliot@vca.com, nina.mahoney@vca.com, elaine.martinez@vca.com, sandra.milo@vca.com, adele.thornbury@vca.com","2506 Lincoln Blvd, Venice 90291",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,VCA McClave Veterinary Hospital,"2/26/25 - 2/27/25_LM
10/28/24_Referral Packet, DVM Visit",Yes,,Unknown,"Aetna, SO",,1,1,1,,,"Dr. Michelle Juan DVM, Dr. Nada Khalaf DVM, Dr. Vivia Liang DVM, Dr. Hughes Sanders DVM, Dr. Greg Sauer DVM ",818-881-5102,"Michelle.Juan@vca.com, Nada.Khalaf@vca.com, Hughes.Sanders@vca.com
Senta.Hutchinson@vca.com, Nada.Khalaf@vca.com, Lori.Prater@vca.com, Maegha.Singh@vca.com, au747@vca.com","6950 Reseda Blvd., Reseda, CA 91335",,,SPE,,"Cardiology, Digital Radiology, OFA X Ray, Ophthalmology, Soft Tissue Surgery, Tonopen, Ultrasound, Emergency Care"
YES - by Mellisa ,VCA Miller-Robertson,"5/19/23_Emailed, called",SUPER CLINIC ,,Unknown,"SO, Aetna, Venice",,3,3,3,3/11/25,,,310.657.7050,"Mark.nunez@vca.com, Lisa.Lomond@vca.com, Emily.Torres@vca.com, Alexis.Traylor@vca.com","8807 Melrose Ave, LA, 90069",Google Maps Link,2023-05-19,UNKNOWN,,
Visit 3/21,VCA Parkwood Animal Hospital,2/26/25 - 2/27/25_LM DVM Visit,,,Unknown,"Aetna, SO",,,1,1,,,"Dr. Helene Dewynter DVM, Dr. Sean Herbeck, Dr. Sheeba Thomas",818-884-5506,au124@vca.com,"6330 Fallbrook Avenue, Woodland Hills, CA 91367",,,SPE,,"EKG
OFA X Ray
Orthopedic Surgery
Soft Tissue Surgery
Tonopen
Ultrasound"
YES - by Mellisa ,VCA Santa Monica Dog and Cat Hospital,"3/1/22_MG_ Visit, gave brochures; met with Dr. Gina Johnson and Dr. Gina Furman (MRG)",Yes,,Unknown,Venice,,4,1,1,,,"Dr. Gina Johnson, Nancy Nobles, Monique Washington",310.453.5459,"Gina.Johnson@vca.com, Nancy.Nobles@vca.com, Monique.Washington@vca.com","2010 Broadway., Santa Monica CA, 90404",Google Maps Link,2023-06-01,UNKNOWN,,
VISIT FOR 3/18,VCA TLC Animal Hospital,6/1/23,Yes,,Unknown,"Venice, Aetna, SO",,1,unkown,unkown,,,"Dr.Gong, Dr Eliza Yashari",310.859.4852,"ian.hannigan@vca.com, adora.min@vca.com, linda.shim@gmail.com, daisy.tigler@vca.com, eliza.yashari@vca.com","8725 Santa Monica Blvd, WHollywood CA 90069",Google Maps Link,2023-06-01,UNKNOWN,,
YES - by Mellisa ,VCA Venture Animal Hospital,"5/19/23_Emailed, Called",Yes,,Unknown,Venice,,1,1,1,,,Dr.Jeff Werber / ,310.559.2500,"VETS: Anat.Elkayam@vca.com, Claire.SophieGuinez@vca.com, Danielle.Pickering@vca.com, Michael.Snyder@vca.com, Kellen.Flanigan@vca.com, 
TECHS and ASSISTS   Araceli.Aguila@vca.com, Rickee.Alexander-Darius@vca.com, Israel.Castellanos@vca.com, Ashley.Chavez@vca.com, Selena.Accardi@vca.com","8750 Venice Blvd, LA, 90034",Google Maps Link,2023-05-19,UNKNOWN,,
Visit 3/21,VCA Veterinary Specialists of the Valley,"6/1/23_ Open 24/7 for Emergencies, emailed ",YES,,Unknown,"Aetna, SO",,,2,2,,,"Dr. Yazdan Aryazand 
Dr. Melissa Cespedes 
Dr. Pierce Chan
Dr. John Chretin (Medical Director)
Dr. Marilena Constantinou
Dr. Lisa Gerlach
Dr. Brittany Harris 
Dr. Lisa Hernandez
Dr. Senta Hutchinson
Dr. Mark Jeon
Dr. Yin Wa Brontie Kong
Dr. Joanne Shinozaki
Dr. Ashlei Tinsley
Dr. Whitney Topmiller
Dr. Vanessa Tse
Dr. Jacqueline TungDr. Nicola Volstad",818-883-8387,"Melissa.Céspedes@vca.com, Pierce.Chan@vca.com, John.Chretin@vca.com, Sara.Crespo-Szabo@vca.com, Lisa.Gerlach@vca.com, YinWaBrontie.Kong@vca.com, Brittany. Harris@vca.com, Brittany.Harris@vca.com, Omar.Khalaf@vca.com, John.Chretin@vca.com, Denitza.Kakacheva@vca.com, Sara.Crespo-Szabo@vca.com, Peggy.McMahon@vca.com, Caroline.Sloan@vca.com, Vanessa.Tse@vca.com, Vsvim@vca.com, tom.gal@vca.com","22123, Ventura Blvd Woodland Hills, CA 91364",Google Maps Link,,SPE,,"Anesthesiology, Cardiology, Counseling, Diagnostic Imaging, Emergency & Critical Care, Internal Medicine, Interventional Radiology, Neurology, Oncology"
YES - by Gladys ,VCA West L.A. Animal Hospital,6/1/2023 3/11/25,SUPER CLINIC ,Attended,Unknown,Venice,"Marelyn  Ventura,
Michelli Chai",6,3,3,3/11/25,,"Marlon Monge (Referral Coordinator)- Dr. Nairi Abedi 
Dr. Justin Allen
Dr. Samantha Bajorek
Dr. Kirstie Barrett
Dr. Gabrielle Carter
Dr. Caroline Choi
Dr. Claudia Davila
Dr. Megan Doan (Resident)
Dr. Caitlin Doran
Dr. Leah Gabriel
Dr. Jennifer Hall
Dr. Victoria Hare
Dr. Traci Hayward 
Dr. Brittany Hyde
Dr. Benjamin Jasper
Dr. Celin Kermanian
Dr. Jayden Li (Resident)
Dr. Tyler Lovell
Dr. Mike Mallard
Dr. Connie Martin
Dr. Joseph Masciana
Dr. Maureen Mueller (Assistant Medical Director)
Dr. Lena Ngo (Resident)
Dr. Sarah Nugen (Resident)
Dr. Christine Owen
Dr. Mark Parlier (Resident)
Dr. Kevin Phipps
Dr. Leah Pomerantz
Dr. Jessica Robertson
Dr. Desiree Rosselli
Dr. Veronique Sammut (Medical Director)
Dr. Amanda Seelman
Dr. Margarent Smith
Dr. Brittney Stanton
Dr. An To
Dr. Becca Walton
Dr. Jordan Cole
Dr. William Farber
Dr. Jessica Guirl
Dr. Elion Kaplan
Dr. Devon Otero
Dr. Jason Rabe
Dr. Lisa Silberstein",310-473-2951,"au101@vca.com
eliot.kaplan@vca.com","1818 South Sepulveda Blvd., Los Angeles, CA 90025",Google Maps Link,,UNKNOWN,,
YES - by Mellisa ,VCA Wilshire,"6/1/23_Materials Dropped, DVM Visited",YES,,Unknown,Venice,,,1,1,,,Dr. Lavac,310.828.45887,"(Medical director) Frank.Lavac@vca.com, Jessica.baron@vca.com, Peter.castro@vca.com","2421 Wilshire Blvd, Santa Monica, CA 90403",Google Maps Link,2023-06-01,UNKNOWN,,
NOT YET ,VEG Veterinary Emergency Group ,3/17_GF_ New clinic added to thsi sheet HOW WAS THIS NOT was not added to this spreadsheet ???- Sent email invite directly to Dr. Yahshair ,Yes,,Unknown,Venice,,1,NEW CLINIC NEVER VISITED! ,NEW CLINIC NEVER VISITED! ,,,Dr. Jonathan Yashari,424.538-.876,"jonathanyashari@veg.veri
jonathanyashari@veg.vet","2700 Wilshire Boulevard, Santa Monica, CA, USA",Google Maps Link,,,,
,VEG Santa Clarita ,,,,,,,,,,,,Dr. Chris Wong / Dr. Nairi Abedi / Dr. Jamil Dowling / Dr. Ana Costa / Dr. Ashton Townsley ,661-509-3115,,"25820 The Old Rd H, Stevenson Ranch, CA 91381",Google Maps Link,,,,
Visit 3/21,Vet Care Animal Center ,3/17_GF: New clinic - was not added to this spreadsheet ,,,Unknown,"Aetna, SO",,,NEW CLINIC NEVER VISITED! ,NEW CLINIC NEVER VISITED! ,,,,(818) 364-1544,,"13815 Sayre St Sylmar, CA 91342",Google Maps Link,,,,
Visit 3/20 ,Veterinary Medical Center ,3/17_GF: New clinic - was not added to this spreadsheet ,,,,,,,3,NEW CLINIC NEVER VISITED! ,,,Dr. Kiarash Safatian,(818) 232-5718,,"11723 Ventura Blvd Studio City, CA 91604",Google Maps Link,,,,
YES - by Mellisa ,Veterinary Skin and Ear,6/1/23,High Potential,,Unknown,Venice,,,unkown,unkown,,,"Dr. Austin Richman, Anna Satorious, Dr. Brittany Lancellotti, Dr. William Byun, Dr. Megan Boyd",310.855.3499,info@vetskinear.com,"11335 Santa Monica Blvd, Los Angeles, CA 90025",Google Maps Link,2023-06-01,UNKNOWN,,
,VIP Veterinary Services (NO WEBSITE) ,,,,,,,,,,,,Dr. Pedro Cisneros / Dr. Lauralyn Rpberts / Dr. Jacqueline Menger ,661-222-7387 ,pcisnerosl@socal.rr.com,,Google Maps Link,,,,
Visit 3/21,Warner Center Pet Clinic,"10/4_DVM Visit, Dr. Debra Jackson, Referral Packet, very very small, probably not a busy enough place for ref/2/26/25 - 2/27/25_LM",,,Unknown,"Aetna, SO",,,2,1,,,"Dr. Debra Jackson, DVM",818-710-8528,epetwcpc@yahoo.com,"20930 Victory Blvd, Woodland Hills, CA 91367",,,GP,,
YES - by Mellisa ,West Hollywood Animal Hospital,"5/19/23_Spoke to Ruby, very interested in a call and will email now letter for job opportunities- NG  (sent email)",NO,,Unknown,Venice,,,unkown,unkown,,,Dr. Monica Revel,310.275.0055,info@wh-ah.com,"9000 N Santa monica Blvd, Wwst Hollywood, 90069",Google Maps Link,2023-05-19,UNKNOWN,,
YES - by Mellisa ,West LA Vet Group,6/1/23,YES,,Unknown,Venice,,,unkown,unkown,,,Dr. Hsiang-ling Chang,310.478.5915,info@wlavg.com,"10749 W Pico Blvd, Los Angeles, CA 90064",Google Maps Link,2023-06-01,UNKNOWN,,
,West Valley Pet Clinic,"6/25/25_ GF- Roberston, Gladys & Dre visited and Dr Berens came out and was very happy to see Dr.R was asking her a million questions - needed medical info/ advice ",,Attended,Unknown,,Dr. Janet Berens ,,"6/25/26 _ DrRoberston,Gladys ,Dre",,,,Dr. Janet Berens,(818)225-7160,"reception@westvalleypetclinic.com, anessep@westsidepetclinic.com","22430 Ventura Blvd, Woodland Hills, CA 91364",Google Maps Link,,,,
YES - by Mellisa ,Westchester Veterinary Center & Cat Clinic,6/1/23_Emailed,High Potential,,Unknown,Venice,,,unkown,unkown,,,"Dr. Andrew Krieger, Dr. Sabrina Keigley, Dr. Tyler Carnahan, Dr. Benjamin Glicklin, Victor Cervantes, RVT, Jennifer Lawrence, RVT, BobbiJo Katagiri, Veterinary Assistant, David Cooper, Veterinary Assistant",310.645.4444,info@westchestervet.com,"8911 S Sepulveda Blvd, Los Angeles, CA 90045",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/20 ,WesternU Spay and Neuter ,"11/7/24_DVM Visit, Ada Leung, RVT, closed, dropped off, Referral Packet",,Attended,Unknown,"Aetna, SO",John Tegzes,,1,1,,,"David Forster, DVM",818-510-0197,spayneuterev@westernu.edu,"14409 Vanowen St, Van Nuys, CA 91411",,,GP,,
YES - by Mellisa ,Westside Pet Clinic ,2/18/25_DVM Visit,NO,,Unknown,Venice,,,3,3,,,"Dena Teach (Owner) Dr.Gary Adams- Dr. Gary Adams, Ino Cheng, RVT, Edgar ""Tony"" Pineda,Veterinary Technician,",310-451-7425,info@westsidepetclinic.com,"1304 Wilshire Blvd, Santa Monica, CA 90403",Google Maps Link,2023-06-01,UNKNOWN,,
Visit 3/21,Winnetka Animal Clinic,"9/17/24_DVM Visit, Marc Smollin - Manager, Referral Packet, Covid protocols still in place, coulnt get inside to chat, left packet and talked tomanager for 3 minutes, good for follow up appt when more availability 2/26/25 - 2/27/25",,,Unknown,"Aetna, SO",,,1,1,,,"Richard Smollin, DVM (Owner), Seung Lee, DVM",818-341-8373,info@winnetkaanimalclinic.com,PET,,,GP,,
,,,,,,,,,,,,,,,,,Google Maps Link,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Google Maps Link,,,,
,,,,,,,,,,,,,,,,,Google Maps Link,,,,
,,,,,,,,,,,,,,,,,Google Maps Link,,,,
